Unnamed: 0,Area,Item,Year,yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,0,1,1990,36613,0.4732941910383859,-0.6163661228212831,-0.6610688930715855
1,0,3,1990,66667,0.4732941910383859,-0.6163661228212831,-0.6610688930715855
2,0,4,1990,23333,0.4732941910383859,-0.6163661228212831,-0.6610688930715855
3,0,5,1990,12500,0.4732941910383859,-0.6163661228212831,-0.6610688930715855
4,0,6,1990,7000,0.4732941910383859,-0.6163661228212831,-0.6610688930715855
5,0,8,1990,30197,0.4732941910383859,-0.6163661228212831,-0.6610688930715855
6,0,1,1991,29068,0.4732941910383859,-0.6163661228212831,-0.8210831115687307
7,0,3,1991,77818,0.4732941910383859,-0.6163661228212831,-0.8210831115687307
8,0,4,1991,28538,0.4732941910383859,-0.6163661228212831,-0.8210831115687307
9,0,5,1991,6667,0.4732941910383859,-0.6163661228212831,-0.8210831115687307
10,0,6,1991,6066,0.4732941910383859,-0.6163661228212831,-0.8210831115687307
11,0,8,1991,20698,0.4732941910383859,-0.6163661228212831,-0.8210831115687307
12,0,1,1992,24876,0.4732941910383859,-0.6163661228212831,-0.7101821680558581
13,0,3,1992,82920,0.4732941910383859,-0.6163661228212831,-0.7101821680558581
14,0,4,1992,40000,0.4732941910383859,-0.6163661228212831,-0.7101821680558581
15,0,5,1992,3747,0.4732941910383859,-0.6163661228212831,-0.7101821680558581
16,0,6,1992,4507,0.4732941910383859,-0.6163661228212831,-0.7101821680558581
17,0,8,1992,24388,0.4732941910383859,-0.6163661228212831,-0.7101821680558581
18,0,1,1993,24185,0.4732941910383859,-0.6163661228212831,-0.7117664672488988
19,0,3,1993,98446,0.4732941910383859,-0.6163661228212831,-0.7117664672488988
20,0,4,1993,41786,0.4732941910383859,-0.6163661228212831,-0.7117664672488988
21,0,6,1993,7998,0.4732941910383859,-0.6163661228212831,-0.7117664672488988
22,0,8,1993,29976,0.4732941910383859,-0.6163661228212831,-0.7117664672488988
23,0,1,1994,25848,0.4732941910383859,-0.6150318493396773,-0.5675952406821642
24,0,3,1994,81404,0.4732941910383859,-0.6150318493396773,-0.5675952406821642
25,0,6,1994,7927,0.4732941910383859,-0.6150318493396773,-0.5675952406821642
26,0,8,1994,24745,0.4732941910383859,-0.6150318493396773,-0.5675952406821642
27,0,1,1995,31300,0.4732941910383859,-0.6141979284136736,-0.7719698365844584
28,0,3,1995,111323,0.4732941910383859,-0.6141979284136736,-0.7719698365844584
29,0,6,1995,11791,0.4732941910383859,-0.6141979284136736,-0.7719698365844584
30,0,8,1995,28703,0.4732941910383859,-0.6141979284136736,-0.7719698365844584
31,0,1,1996,32604,0.4732941910383859,-0.6131478551836499,-0.7767227341635814
32,0,3,1996,106138,0.4732941910383859,-0.6131478551836499,-0.7767227341635814
33,0,6,1996,15480,0.4732941910383859,-0.6131478551836499,-0.7767227341635814
34,0,8,1996,21741,0.4732941910383859,-0.6131478551836499,-0.7767227341635814
35,0,1,1997,31862,0.4732941910383859,-0.6120976151694408,-0.7355309551445144
36,0,3,1997,109874,0.4732941910383859,-0.6120976151694408,-0.7355309551445144
37,0,6,1997,12768,0.4732941910383859,-0.6120976151694408,-0.7355309551445144
38,0,8,1997,28516,0.4732941910383859,-0.6120976151694408,-0.7355309551445144
39,0,1,1998,33416,0.4732941910383859,-0.611047541939417,-0.6769118850019961
40,0,3,1998,127212,0.4732941910383859,-0.611047541939417,-0.6769118850019961
41,0,6,1998,14327,0.4732941910383859,-0.611047541939417,-0.6769118850019961
42,0,8,1998,28037,0.4732941910383859,-0.611047541939417,-0.6769118850019961
43,0,1,1999,37455,0.4732941910383859,-0.6099973019252081,-0.6293829092107648
44,0,3,1999,142018,0.4732941910383859,-0.6099973019252081,-0.6293829092107648
45,0,6,1999,17143,0.4732941910383859,-0.6099973019252081,-0.6293829092107648
46,0,8,1999,24954,0.4732941910383859,-0.6099973019252081,-0.6293829092107648
47,0,1,2000,38811,0.4732941910383859,-0.6089472286951843,-0.6135399172803542
48,0,3,2000,141228,0.4732941910383859,-0.6089472286951843,-0.6135399172803542
49,0,6,2000,15000,0.4732941910383859,-0.6089472286951843,-0.6135399172803542
50,0,8,2000,30455,0.4732941910383859,-0.6089472286951843,-0.6135399172803542
51,0,1,2001,38135,0.4732941910383859,-0.6078969886809752,-0.6262143108246827
52,0,3,2001,148818,0.4732941910383859,-0.6078969886809752,-0.6262143108246827
53,0,6,2001,20000,0.4732941910383859,-0.6078969886809752,-0.6262143108246827
54,0,8,2001,28220,0.4732941910383859,-0.6078969886809752,-0.6262143108246827
55,0,1,2002,39460,0.4732941910383859,-0.6068469154509515,-0.6452259011411754
56,0,3,2002,153868,0.4732941910383859,-0.6068469154509515,-0.6452259011411754
57,0,6,2002,20000,0.4732941910383859,-0.6068469154509515,-0.6452259011411754
58,0,8,2002,31617,0.4732941910383859,-0.6068469154509515,-0.6452259011411754
59,0,1,2004,46197,0.4732941910383859,-0.6047466022067187,-0.6943391761254474
60,0,3,2004,149346,0.4732941910383859,-0.6047466022067187,-0.6943391761254474
61,0,6,2004,13333,0.4732941910383859,-0.6047466022067187,-0.6943391761254474
62,0,8,2004,31130,0.4732941910383859,-0.6047466022067187,-0.6943391761254474
63,0,1,2005,45442,0.4732941910383859,-0.6036965289766949,-0.7719698365844584
64,0,3,2005,167061,0.4732941910383859,-0.6036965289766949,-0.7719698365844584
65,0,6,2005,17500,0.4732941910383859,-0.6036965289766949,-0.7719698365844584
66,0,8,2005,31582,0.4732941910383859,-0.6036965289766949,-0.7719698365844584
67,0,1,2006,50111,0.4732941910383859,-0.6026462889624858,-0.7323623567584324
68,0,3,2006,170745,0.4732941910383859,-0.6026462889624858,-0.7323623567584324
69,0,6,2006,20000,0.4732941910383859,-0.6026462889624858,-0.7323623567584324
70,0,8,2006,30787,0.4732941910383859,-0.6026462889624858,-0.7323623567584324
71,0,1,2007,46732,0.4732941910383859,-0.6015962157324621,-0.6135399172803542
72,0,3,2007,188902,0.4732941910383859,-0.6015962157324621,-0.6135399172803542
73,0,6,2007,20000,0.4732941910383859,-0.6015962157324621,-0.6135399172803542
74,0,8,2007,35496,0.4732941910383859,-0.6015962157324621,-0.6135399172803542
75,0,1,2008,50000,0.4732941910383859,-0.6005459757182531,-0.6072027205081901
76,0,3,2008,193878,0.4732941910383859,-0.6005459757182531,-0.6072027205081901
77,0,6,2008,20000,0.4732941910383859,-0.6005459757182531,-0.6072027205081901
78,0,8,2008,40168,0.4732941910383859,-0.6005459757182531,-0.6072027205081901
79,0,1,2009,55693,0.4732941910383859,-0.5994959024882293,-0.604034122122108
80,0,3,2009,219780,0.4732941910383859,-0.5994959024882293,-0.604034122122108
81,0,6,2009,16667,0.4732941910383859,-0.5994959024882293,-0.604034122122108
82,0,8,2009,40229,0.4732941910383859,-0.5994959024882293,-0.604034122122108
83,0,1,2010,66790,0.4732941910383859,-0.5965159694512479,-0.6373044051759701
84,0,3,2010,231111,0.4732941910383859,-0.5965159694512479,-0.6373044051759701
85,0,6,2010,16667,0.4732941910383859,-0.5965159694512479,-0.6373044051759701
86,0,8,2010,39905,0.4732941910383859,-0.5965159694512479,-0.6373044051759701
87,0,1,2011,59869,0.4732941910383859,-0.5966584031454093,-0.6483944995272574
88,0,3,2011,242211,0.4732941910383859,-0.5966584031454093,-0.6483944995272574
89,0,6,2011,18519,0.4732941910383859,-0.5966584031454093,-0.6483944995272574
90,0,8,2011,42301,0.4732941910383859,-0.5966584031454093,-0.6483944995272574
91,0,1,2012,67290,0.4732941910383859,-0.605604373271206,-0.6087870197012314
92,0,3,2012,250538,0.4732941910383859,-0.605604373271206,-0.6087870197012314
93,0,6,2012,13333,0.4732941910383859,-0.605604373271206,-0.6087870197012314
94,0,8,2012,41096,0.4732941910383859,-0.605604373271206,-0.6087870197012314
95,0,1,2013,69533,0.4732941910383859,-0.6020006673815739,-0.49630177699531747
96,0,3,2013,260110,0.4732941910383859,-0.6020006673815739,-0.49630177699531747
97,0,6,2013,10000,0.4732941910383859,-0.6020006673815739,-0.49630177699531747
98,0,8,2013,41292,0.4732941910383859,-0.6020006673815739,-0.49630177699531747
99,1,1,1990,16500,-1.4934581612843458,-0.5878807182624801,-0.48521168264403014
100,1,3,1990,78936,-1.4934581612843458,-0.5878807182624801,-0.48521168264403014
101,1,4,1990,28000,-1.4934581612843458,-0.5878807182624801,-0.48521168264403014
102,1,5,1990,16571,-1.4934581612843458,-0.5878807182624801,-0.48521168264403014
103,1,8,1990,6315,-1.4934581612843458,-0.5878807182624801,-0.48521168264403014
104,1,1,1991,19231,-1.4934581612843458,-0.5773252807494963,-0.6784961841950368
105,1,3,1991,90747,-1.4934581612843458,-0.5773252807494963,-0.6784961841950368
106,1,4,1991,26786,-1.4934581612843458,-0.5773252807494963,-0.6784961841950368
107,1,5,1991,24231,-1.4934581612843458,-0.5773252807494963,-0.6784961841950368
108,1,8,1991,10809,-1.4934581612843458,-0.5773252807494963,-0.6784961841950368
109,1,1,1992,22828,-1.4934581612843458,-0.5981120941036189,-0.6769118850019961
110,1,3,1992,107917,-1.4934581612843458,-0.5981120941036189,-0.6769118850019961
111,1,4,1992,24733,-1.4934581612843458,-0.5981120941036189,-0.6769118850019961
112,1,5,1992,40000,-1.4934581612843458,-0.5981120941036189,-0.6769118850019961
113,1,8,1992,9939,-1.4934581612843458,-0.5981120941036189,-0.6769118850019961
114,1,1,1993,12500,-1.4934581612843458,-0.6013407023607346,-0.5612580439100001
115,1,3,1993,111215,-1.4934581612843458,-0.6013407023607346,-0.5612580439100001
116,1,4,1993,23111,-1.4934581612843458,-0.6013407023607346,-0.5612580439100001
117,1,5,1993,50000,-1.4934581612843458,-0.6013407023607346,-0.5612580439100001
118,1,8,1993,8097,-1.4934581612843458,-0.6013407023607346,-0.5612580439100001
119,1,1,1994,4512,-1.4934581612843458,-0.59745246265115,-0.42183971492238875
120,1,3,1994,95078,-1.4934581612843458,-0.59745246265115,-0.42183971492238875
121,1,4,1994,21374,-1.4934581612843458,-0.59745246265115,-0.42183971492238875
122,1,8,1994,7999,-1.4934581612843458,-0.59745246265115,-0.42183971492238875
123,1,1,1995,16115,-1.4934581612843458,-0.5734010156559083,-0.5042232729605227
124,1,3,1995,136768,-1.4934581612843458,-0.5734010156559083,-0.5042232729605227
125,1,4,1995,19598,-1.4934581612843458,-0.5734010156559083,-0.5042232729605227
126,1,5,1995,12667,-1.4934581612843458,-0.5734010156559083,-0.5042232729605227
127,1,8,1995,8924,-1.4934581612843458,-0.5734010156559083,-0.5042232729605227
128,1,1,1996,17154,-1.4934581612843458,-0.6103824066088366,-0.5992812245429848
129,1,3,1996,134629,-1.4934581612843458,-0.6103824066088366,-0.5992812245429848
130,1,4,1996,17861,-1.4934581612843458,-0.6103824066088366,-0.5992812245429848
131,1,5,1996,14750,-1.4934581612843458,-0.6103824066088366,-0.5992812245429848
132,1,8,1996,13090,-1.4934581612843458,-0.6103824066088366,-0.5992812245429848
133,1,1,1997,21417,-1.4934581612843458,-0.6116924963835882,-0.4281769116945528
134,1,3,1997,141042,-1.4934581612843458,-0.6116924963835882,-0.4281769116945528
135,1,4,1997,15000,-1.4934581612843458,-0.6116924963835882,-0.4281769116945528
136,1,5,1997,40000,-1.4934581612843458,-0.6116924963835882,-0.4281769116945528
137,1,8,1997,8016,-1.4934581612843458,-0.6116924963835882,-0.4281769116945528
138,1,1,1998,17222,-1.4934581612843458,-0.6129997508271916,-0.5390778552074255
139,1,3,1998,160256,-1.4934581612843458,-0.6129997508271916,-0.5390778552074255
140,1,4,1998,15000,-1.4934581612843458,-0.6129997508271916,-0.5390778552074255
141,1,5,1998,24500,-1.4934581612843458,-0.6129997508271916,-0.5390778552074255
142,1,8,1998,8847,-1.4934581612843458,-0.6129997508271916,-0.5390778552074255
143,1,1,1999,22375,-1.4934581612843458,-0.6074690204617502,-0.4075810221850194
144,1,3,1999,153532,-1.4934581612843458,-0.6074690204617502,-0.4075810221850194
145,1,4,1999,13942,-1.4934581612843458,-0.6074690204617502,-0.4075810221850194
146,1,5,1999,27000,-1.4934581612843458,-0.6074690204617502,-0.4075810221850194
147,1,8,1999,10711,-1.4934581612843458,-0.6074690204617502,-0.4075810221850194
148,1,1,2000,36186,-1.4934581612843458,-0.6083159505541995,-0.41867111653630673
149,1,3,2000,166143,-1.4934581612843458,-0.6083159505541995,-0.41867111653630673
150,1,4,2000,13052,-1.4934581612843458,-0.6083159505541995,-0.41867111653630673
151,1,5,2000,69500,-1.4934581612843458,-0.6083159505541995,-0.41867111653630673
152,1,8,2000,9194,-1.4934581612843458,-0.6083159505541995,-0.41867111653630673
153,1,1,2001,27175,-1.4934581612843458,-0.6065406996869229,-0.3822322350963628
154,1,3,2001,147018,-1.4934581612843458,-0.6065406996869229,-0.3822322350963628
155,1,4,2001,12314,-1.4934581612843458,-0.6065406996869229,-0.3822322350963628
156,1,5,2001,27750,-1.4934581612843458,-0.6065406996869229,-0.3822322350963628
157,1,8,2001,11104,-1.4934581612843458,-0.6065406996869229,-0.3822322350963628
158,1,1,2002,33480,-1.4934581612843458,-0.6047654488196463,-0.4265926125015115
159,1,3,2002,183774,-1.4934581612843458,-0.6047654488196463,-0.4265926125015115
160,1,4,2002,12959,-1.4934581612843458,-0.6047654488196463,-0.4265926125015115
161,1,5,2002,33900,-1.4934581612843458,-0.6047654488196463,-0.4265926125015115
162,1,8,2002,10739,-1.4934581612843458,-0.6047654488196463,-0.4265926125015115
163,1,1,2004,31729,-1.4934581612843458,-0.5558758338275713,-0.5010546745744408
164,1,3,2004,203585,-1.4934581612843458,-0.5558758338275713,-0.5010546745744408
165,1,4,2004,12829,-1.4934581612843458,-0.5558758338275713,-0.5010546745744408
166,1,5,2004,43316,-1.4934581612843458,-0.5558758338275713,-0.5010546745744408
167,1,8,2004,13582,-1.4934581612843458,-0.5558758338275713,-0.5010546745744408
168,1,1,2005,33864,-1.4934581612843458,-0.5572933326175923,-0.5311563592422202
169,1,3,2005,216267,-1.4934581612843458,-0.5572933326175923,-0.5311563592422202
